Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,0,session_20260422_220055,478,1,2,0,3012.43036747,,0,500,0,956,,0.00418410041841,0.00209205020921,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_220055/llama3.2_1b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,0,valid_session1/session1,478,1,2,0,3012.43036747,,0,500,0,956,,0.00418410041841,0.00209205020921,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,0,session_20260422_155053,491,0,344,0,2221.95954347,,0,500,0,982,,0.700610997963,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_155053/llama3.2_1b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,0,session_20260422_220055,491,0,0,0,2611.15336275,,0,500,0,982,,0,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_220055/llama3.2_1b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,0,valid_session1/session1,491,0,0,0,2611.15336275,,0,500,0,982,,0,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,session_20260422_083558,492,0,5,0,2684.81530523,,0,500,0,984,,0.010162601626,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_083558/llama3.2_1b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,session_20260422_155053,146,0,234,0,6942.65383267,,0,500,0,292,,1.60273972603,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_155053/llama3.2_1b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,session_20260422_220055,203,0,192,0,8901.39995742,,0,500,0,406,,0.945812807882,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_220055/llama3.2_1b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,session_cps_20260428,432,47,132,0,5463.45343399,,0,500,0,864,,0.305555555556,0.108796296296,Battery-TA-RWARE/results/calls/centralized/json/session_cps_20260428/llama3.2_1b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,valid_session1/session1,203,0,192,0,8901.39995742,,0,500,0,406,,0.945812807882,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,valid_session1/session1/small_agv_heavy_4v2-run2,432,47,132,0,5463.45343399,,0,500,0,864,,0.305555555556,0.108796296296,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/small_agv_heavy_4v2-run2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,0,session_20260422_083558,491,0,1,0.00125,4354.24140263,,0,500,0,982,,0.0020366598778,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_083558/llama3.2_1b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,0,session_20260422_083558,342,0,167,0.003,1360.29159045,,0,500,0,684,,0.488304093567,0,Battery-TA-RWARE/results/calls/centralized/json/session_20260422_083558/llama3.2_1b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,0,valid_session1/session1,342,0,167,0.003,1360.29159045,,0,500,0,684,,0.488304093567,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session1/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,gemma 12b,tiny_balanced_1v1,0,session_cps_gemma,802,0,0,0.177267002519,12874.5812809,48,9,1588,5.66750629723,505.037783375,89.1111111111,0,0,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,gemma 12b,tiny_balanced_1v1,0,valid_session1,802,0,0,0.177267002519,12874.5812809,48,9,1588,5.66750629723,505.037783375,89.1111111111,0,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,gemma 12b,small_picker_heavy_2v4,0,session_cps_gemma,945,3,45,0.187240970989,27042.8690436,99,3,1126,2.66429840142,839.253996448,315,0.047619047619,0.0031746031746,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,gemma 12b,small_picker_heavy_2v4,0,valid_session1,945,3,45,0.187240970989,27042.8690436,99,3,1126,2.66429840142,839.253996448,315,0.047619047619,0.0031746031746,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,gemma 12b,small_balanced_2v2,0,session_cps_gemma,143,0,0,0.0995,2732.91641235,,0,500,0,286,,0,0,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,gemma 12b,small_balanced_2v2,0,valid_session1,143,0,0,0.0995,2732.91641235,,0,500,0,286,,0,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,gemma 12b,small_agv_heavy_4v2,0,session_cps_gemma,634,0,6,0.097975708502,14183.5999446,45,8,1235,6.47773279352,513.360323887,79.25,0.00946372239748,0,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,gemma 12b,small_agv_heavy_4v2,0,valid_session1,634,0,6,0.097975708502,14183.5999446,45,8,1235,6.47773279352,513.360323887,79.25,0.00946372239748,0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,gemma 12b,medium_balanced_4v4,0,session_cps_gemma,1327,1,67,0.134952004517,43527.3778443,209,8,1771,4.51722190853,749.294184077,165.875,0.0504898266767,0.000753579502638,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,gemma 12b,medium_balanced_4v4,0,valid_session1,1327,1,67,0.134952004517,43527.3778443,209,8,1771,4.51722190853,749.294184077,165.875,0.0504898266767,0.000753579502638,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,gemma 12b,medium_agv_heavy_6v2,0,session_cps_gemma,1035,1,45,0.135957446809,26016.9079466,190,3,1175,2.55319148936,880.85106383,345,0.0434782608696,0.000966183574879,Battery-TA-RWARE/results/calls/centralized/json/session_cps_gemma/gemma3_12b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,gemma 12b,medium_agv_heavy_6v2,0,valid_session1,1035,1,45,0.135957446809,26016.9079466,190,3,1175,2.55319148936,880.85106383,345,0.0434782608696,0.000966183574879,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/gemma3_12b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Natural,llama 1b (3.2),tiny_balanced_1v1,0,session_20260423_075701,345,NA,6,0,1428.01573396,,0,500,0,690,,0.0173913043478,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_075701/llama3.2_1b/tiny_balanced_1v1/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),tiny_balanced_1v1,0,session_20260423_193725,193,NA,0,0.057,2161.73289919,,0,500,0,386,,0,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/tiny_balanced_1v1/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),small_picker_heavy_2v4,0,session_20260423_193725,443,NA,161,0.124333333333,5438.21912503,,0,500,0,886,,0.363431151242,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/small_picker_heavy_2v4/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),small_balanced_2v2,0,session_20260423_075701,322,NA,163,0.081,3193.52960777,,0,500,0,644,,0.506211180124,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_075701/llama3.2_1b/small_balanced_2v2/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),small_balanced_2v2,0,session_20260423_193725,425,NA,138,0.1855,4883.98770428,,0,500,0,850,,0.324705882353,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/small_balanced_2v2/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),small_agv_heavy_4v2,0,session_20260423_075701,351,NA,230,0.138333333333,4407.68746781,,0,500,0,702,,0.655270655271,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_075701/llama3.2_1b/small_agv_heavy_4v2/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),small_agv_heavy_4v2,0,session_20260423_193725,435,NA,234,0.061,5263.38366461,,0,500,0,870,,0.537931034483,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/small_agv_heavy_4v2/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),medium_balanced_4v4,0,session_20260423_075701,569,NA,632,0.122108843537,11386.0203173,235,1,735,1.36054421769,774.149659864,569,1.11072056239,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_075701/llama3.2_1b/medium_balanced_4v4/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),medium_balanced_4v4,0,session_20260423_193725,680,NA,474,0.124830852503,9811.22831321,239,1,739,1.35317997294,920.162381597,680,0.697058823529,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/medium_balanced_4v4/language/summary.json
Calls,Centralized,Natural,llama 1b (3.2),medium_agv_heavy_6v2,0,session_20260423_193725,438,NA,346,0.06125,5798.71483159,,0,500,0,876,,0.7899543379,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_1b/medium_agv_heavy_6v2/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),tiny_balanced_1v1,0,session_20260423_193725,491,NA,45,0.121274409044,5081.87369585,473,1,973,1.02774922919,504.624871531,491,0.091649694501,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/tiny_balanced_1v1/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),small_picker_heavy_2v4,0,session_20260423_193725,1358,NA,651,0.235244161359,19751.9443719,67,4,1570,2.54777070064,864.968152866,339.5,0.479381443299,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/small_picker_heavy_2v4/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),small_balanced_2v2,0,session_20260423_193725,574,NA,387,0.165322580645,5611.67533207,306,1,806,1.24069478908,712.158808933,574,0.674216027875,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/small_balanced_2v2/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),small_agv_heavy_4v2,0,session_20260423_193725,2457,NA,580,0.157044242234,27384.2953832,411,18,3187,5.64794477565,770.944461876,136.5,0.23606023606,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/small_agv_heavy_4v2/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),medium_balanced_4v4,0,session_20260423_193725,3292,NA,1193,0.180948098664,49822.2280526,261,16,3892,4.11099691675,845.837615622,205.75,0.362393681652,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/medium_balanced_4v4/language/summary.json
Calls,Centralized,Natural,llama 3b (3.2),medium_agv_heavy_6v2,0,session_20260423_193725,2221,NA,554,0.15615981241,28856.3513865,50,19,2772,6.85425685426,801.226551227,116.894736842,0.249437190455,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/llama3.2_3b/medium_agv_heavy_6v2/language/summary.json
Calls,Centralized,Natural,mistral 7b,tiny_balanced_1v1,0,session_20260423_193725,1220,NA,803,0.236063984489,38112.2118821,375,5,2063,2.42365487155,591.371788657,244,0.658196721311,NA,Battery-TA-RWARE/results/calls/centralized/natural/session_20260423_193725/mistral_7b/tiny_balanced_1v1/language/summary.json
