Objective,Arch,Prompt,Model,Scenario,num_runs,num_seeds,seeds,mean_total_deliveries,std_total_deliveries,mean_total_steps,std_total_steps,mean_deliveries_per_1000_steps,std_deliveries_per_1000_steps,mean_llm_calls_per_1000_steps,std_llm_calls_per_1000_steps,mean_llm_calls_per_delivery,std_llm_calls_per_delivery,mean_invalid_action_rate,std_invalid_action_rate,mean_json_failure_rate,std_json_failure_rate,mean_charging_station_utilization_rate,std_charging_station_utilization_rate,mean_steps_to_first_delivery,std_steps_to_first_delivery
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,2,1,0,0,0,500,0,0,0,956,0,,,0.00418410041841,0,0.00209205020921,0,0,0,,
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,3,1,0,0,0,500,0,0,0,982,0,,,0.233536999321,0.404497948271,0,0,0,0,,
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,6,1,0,0,0,500,0,0,0,636,299.735883738,,,0.685939842422,0.58679625655,0.0362654320987,0.0561821658245,0,0,,
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,1,1,0,0,,500,,0,,982,,,,0.0020366598778,,0,,0.00125,,,
Calls,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,2,1,0,0,0,500,0,0,0,684,0,,,0.488304093567,0,0,0,0.003,0,,
Calls,Centralized,Json,gemma 12b,tiny_balanced_1v1,2,1,0,9,0,1588,0,5.66750629723,0,505.037783375,0,89.1111111111,0,0,0,0,0,0.177267002519,0,48,0
Calls,Centralized,Json,gemma 12b,small_picker_heavy_2v4,2,1,0,3,0,1126,0,2.66429840142,0,839.253996448,0,315,0,0.047619047619,0,0.0031746031746,0,0.187240970989,0,99,0
Calls,Centralized,Json,gemma 12b,small_balanced_2v2,2,1,0,0,0,500,0,0,0,286,0,,,0,0,0,0,0.0995,0,,
Calls,Centralized,Json,gemma 12b,small_agv_heavy_4v2,2,1,0,8,0,1235,0,6.47773279352,0,513.360323887,0,79.25,0,0.00946372239748,0,0,0,0.097975708502,0,45,0
Calls,Centralized,Json,gemma 12b,medium_balanced_4v4,2,1,0,8,0,1771,0,4.51722190853,0,749.294184077,0,165.875,0,0.0504898266767,0,0.000753579502638,0,0.134952004517,0,209,0
Calls,Centralized,Json,gemma 12b,medium_agv_heavy_6v2,2,1,0,3,0,1175,0,2.55319148936,0,880.85106383,0,345,0,0.0434782608696,0,0.000966183574879,0,0.135957446809,0,190,0
Calls,Centralized,Natural,llama 1b (3.2),tiny_balanced_1v1,2,1,0,0,0,500,0,0,0,538,214.960461481,,,0.0086956521739,0.012297509238,,,0.0285,0.0403050865276,,
Calls,Centralized,Natural,llama 1b (3.2),small_picker_heavy_2v4,1,1,0,0,,500,,0,,886,,,,0.363431151242,,,,0.124333333333,,,
Calls,Centralized,Natural,llama 1b (3.2),small_balanced_2v2,2,1,0,0,0,500,0,0,0,747,145.663996924,,,0.415458531239,0.128343626875,,,0.13325,0.073892658634,,
Calls,Centralized,Natural,llama 1b (3.2),small_agv_heavy_4v2,2,1,0,0,0,500,0,0,0,786,118.793939239,,,0.596600844877,0.0829716415611,,,0.0996666666665,0.0546829244115,,
Calls,Centralized,Natural,llama 1b (3.2),medium_balanced_4v4,2,1,0,1,0,737,2.82842712475,1.35686209531,0.00520730740104,847.156020731,103.246585677,624.5,78.4888527117,0.903889692959,0.292503020666,,,0.12346984802,0.00192475099831,237,2.82842712475
Calls,Centralized,Natural,llama 1b (3.2),medium_agv_heavy_6v2,1,1,0,0,,500,,0,,876,,,,0.7899543379,,,,0.06125,,,
Calls,Centralized,Natural,llama 3b (3.2),tiny_balanced_1v1,1,1,0,1,,973,,1.02774922919,,504.624871531,,491,,0.091649694501,,,,0.121274409044,,473,
Calls,Centralized,Natural,llama 3b (3.2),small_picker_heavy_2v4,1,1,0,4,,1570,,2.54777070064,,864.968152866,,339.5,,0.479381443299,,,,0.235244161359,,67,
Calls,Centralized,Natural,llama 3b (3.2),small_balanced_2v2,1,1,0,1,,806,,1.24069478908,,712.158808933,,574,,0.674216027875,,,,0.165322580645,,306,
Calls,Centralized,Natural,llama 3b (3.2),small_agv_heavy_4v2,1,1,0,18,,3187,,5.64794477565,,770.944461876,,136.5,,0.23606023606,,,,0.157044242234,,411,
Calls,Centralized,Natural,llama 3b (3.2),medium_balanced_4v4,1,1,0,16,,3892,,4.11099691675,,845.837615622,,205.75,,0.362393681652,,,,0.180948098664,,261,
Calls,Centralized,Natural,llama 3b (3.2),medium_agv_heavy_6v2,1,1,0,19,,2772,,6.85425685426,,801.226551227,,116.894736842,,0.249437190455,,,,0.15615981241,,50,
Calls,Centralized,Natural,mistral 7b,tiny_balanced_1v1,1,1,0,5,,2063,,2.42365487155,,591.371788657,,244,,0.658196721311,,,,0.236063984489,,375,
Calls,Centralized,Natural,mistral 7b,small_balanced_2v2,1,1,0,6,,1732,,3.46420323326,,668.013856813,,192.833333333,,0.90319792567,,,,0.1978926097,,74,
Calls,Shared,Json,llama 1b (3.2),tiny_balanced_1v1,4,1,0,0,0,500,0,0,0,1575.5,340.499143415,,,0,0,0,0,0.01575,0.0315,,
Calls,Shared,Json,llama 1b (3.2),small_picker_heavy_2v4,2,1,0,0,0,500,0,0,0,3455,154.149278299,,,0,0,0,0,0.224,0.286613948641,,
Calls,Shared,Json,llama 1b (3.2),small_balanced_2v2,4,1,0,0,0,500,0,0,0,1619,314.420101139,,,0,0,0,0,0.266125,0.165071890904,,
Calls,Shared,Json,llama 1b (3.2),small_agv_heavy_4v2,2,1,0,0,0,500,0,0,0,3004,285.671139599,,,0,0,0,0,0.1895,0.189268915097,,
Calls,Shared,Json,llama 1b (3.2),medium_balanced_4v4,3,1,0,0,0,500,0,0,0,3724,649.692234831,,,0,0,0,0,0.238333333333,0.055646952597,,
Calls,Shared,Json,llama 1b (3.2),medium_agv_heavy_6v2,2,1,0,0,0,500,0,0,0,2659,940.452018978,,,0,0,0,0,0.186,0.13081475452,,
Calls,Shared,Json,llama 3b (3.2),tiny_balanced_1v1,2,1,0,0,0,500,0,0,0,1541,318.198051534,,,0,0,0,0,0,0,,
