Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Battery,Centralized,Natural,mistral 7b,tiny_balanced_1v1,0,session_cps_20260728,842,0,274,0.24504158669225848,2901.9425506591797,309,5,1563,3.198976327575176,538.7076135636596,168.4,0.3254156769596199,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/tiny_balanced_1v1/language/summary.json
Battery,Centralized,Natural,mistral 7b,small_balanced_2v2,0,session_cps_20260728,372,0,31,0.1127556512378902,1348.9710900783539,429,1,929,1.0764262648008611,400.43057050592034,372,0.08333333333333333,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/small_balanced_2v2/language/summary.json
Battery,Centralized,Natural,mistral 7b,small_agv_heavy_4v2,0,session_cps_20260728,1082,0,211,0.13528254649499286,4566.66118812561,69,13,1864,6.9742489270386265,580.4721030042919,83.23076923076923,0.19500924214417745,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/small_agv_heavy_4v2/language/summary.json
Battery,Centralized,Natural,mistral 7b,small_picker_heavy_2v4,0,session_cps_20260728,522,0,260,0.319868342309994,2840.745364665985,57,1,557,1.7953321364452424,937.1633752244165,522,0.49808429118773945,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/small_picker_heavy_2v4/language/summary.json
Battery,Centralized,Natural,mistral 7b,medium_balanced_4v4,0,session_cps_20260728,1659,0,498,0.1770317145688801,9582.021967411041,101,12,2018,5.946481665014867,822.1010901883053,138.25,0.30018083182640143,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/medium_balanced_4v4/language/summary.json
Battery,Centralized,Natural,mistral 7b,medium_agv_heavy_6v2,0,session_cps_20260728,976,0,132,0.09969473007712082,4847.992231369019,33,11,1556,7.069408740359897,627.2493573264782,88.72727272727273,0.13524590163934427,0,Battery-TA-RWARE/results/battery/centralized/natural/session_cps_20260728/mistral_7b/medium_agv_heavy_6v2/language/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_picker_heavy_2v4,0,session_llama1smallpicker,483,10,10,0,2818.34566116333,,0,500,0,966,,0.020703933747412008,0.020703933747412008,Battery-TA-RWARE/results/calls/centralized/json/session_llama1smallpicker/llama3.2_1b/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,mistral 7b,small_picker_heavy_2v4,0,session_llama1smallpicker,1697,2,33,0.20868347338935575,7910.526213169098,47,12,2023,5.931784478497281,838.8531883341572,141.41666666666666,0.019446081319976428,0.0011785503830288745,Battery-TA-RWARE/results/calls/centralized/json/session_llama1smallpicker/mistral_7b/small_picker_heavy_2v4/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,tiny_balanced_1v1,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,560,0,0,0.4248,2717.5165433883667,59,2,625,3.2,896,280,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/tiny_balanced_1v1/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,small_balanced_2v2,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,157,0,0,0.1005,1003.1947102546692,,0,500,0,314,,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/small_balanced_2v2/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,small_agv_heavy_4v2,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,845,0,0,0.0936909059652742,5837.008661031723,24,11,1939,5.673027333677153,435.79164517792674,76.81818181818181,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/small_agv_heavy_4v2/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,small_picker_heavy_2v4,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,467,0,0,0.15922032413491022,3538.8115673065186,24,2,761,2.628120893561104,613.6662286465178,233.5,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/small_picker_heavy_2v4/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,medium_balanced_4v4,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,1315,0,0,0.19226596404215748,13327.6058883667,51,11,1613,6.819590824550527,815.2510849349039,119.54545454545455,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/medium_balanced_4v4/json/summary.json
Battery + Shelf,Centralized,Json,gemma 12b,medium_agv_heavy_6v2,0,session_obj1_centralized_json_gemma3_12b_seed0_20260730,368,0,0,0.07147790055248619,3007.895974636078,40,4,724,5.524861878453039,508.28729281767954,92,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj1/session_obj1_centralized_json_gemma3_12b_seed0_20260730/gemma3_12b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,phi4,tiny_balanced_1v1,0,session_obj2_centralized_json_phi4_seed0_20260731,170,0,0,0.09514925373134328,1219.1997420787811,36,1,536,1.8656716417910448,317.1641791044776,170,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,phi4,small_balanced_2v2,0,session_obj2_centralized_json_phi4_seed0_20260731,183,0,0,0.08,1378.992705821991,,0,500,0,366,,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,phi4,small_agv_heavy_4v2,0,session_obj2_centralized_json_phi4_seed0_20260731,1086,0,0,0.0923671497584541,9661.567104816437,38,16,1725,9.27536231884058,629.5652173913044,67.875,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,phi4,small_picker_heavy_2v4,0,session_obj2_centralized_json_phi4_seed0_20260731,985,0,0,0.1608350828084908,8314.07924747467,23,8,1429,5.5983205038488455,689.293212036389,123.125,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,phi4,medium_balanced_4v4,0,session_obj2_centralized_json_phi4_seed0_20260731,554,0,0,0.04830917874396135,6552.1374661922455,51,4,621,6.4412238325281805,892.109500805153,138.5,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,phi4,medium_agv_heavy_6v2,0,session_obj2_centralized_json_phi4_seed0_20260731,287,0,0,0.06839622641509434,2723.4118378162384,40,4,636,6.289308176100629,451.25786163522014,71.75,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_phi4_seed0_20260731/phi4/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,qwen 14b (2.5),tiny_balanced_1v1,0,session_obj2_centralized_json_qwen2_5_14b_seed0_20260731,504,0,25,0.39892665474060823,2637.3896856307983,59,1,559,1.7889087656529516,901.6100178890877,504,0.0496031746031746,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_qwen2_5_14b_seed0_20260731/qwen2.5_14b/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,qwen 14b (2.5),small_balanced_2v2,0,session_obj2_centralized_json_qwen2_5_14b_seed0_20260731,164,0,0,0.1145,1392.8381235599518,,0,500,0,328,,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_qwen2_5_14b_seed0_20260731/qwen2.5_14b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,qwen 14b (2.5),small_agv_heavy_4v2,0,session_obj2_centralized_json_qwen2_5_14b_seed0_20260731,1030,0,1,0.10441646682653877,11241.639535665512,41,14,1668,8.393285371702637,617.505995203837,73.57142857142857,0.000970873786407767,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_qwen2_5_14b_seed0_20260731/qwen2.5_14b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,qwen 14b (2.5),small_picker_heavy_2v4,0,session_obj2_centralized_json_qwen2_5_14b_seed0_20260731,486,0,1,0.418951858622791,7284.021661043167,37,2,547,3.656307129798903,888.4826325411335,243,0.00205761316872428,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_qwen2_5_14b_seed0_20260731/qwen2.5_14b/small_picker_heavy_2v4/json/summary.json
Calls,Centralized,Json,qwen 14b (2.5),medium_balanced_4v4,0,session_obj2_centralized_json_qwen2_5_14b_seed0_20260731,1412,0,0,0.13215384615384615,21390.149170398712,62,20,1625,12.307692307692308,868.9230769230769,70.6,0,0,Battery-TA-RWARE/results/Larger-Models/centralized/json/obj2/session_obj2_centralized_json_qwen2_5_14b_seed0_20260731/qwen2.5_14b/medium_balanced_4v4/json/summary.json
